reference_date,month_number,month_name,quarter,year,year_month
2024-01-31,1,January,Q1,2024,2024-01
2024-02-29,2,February,Q1,2024,2024-02
2024-03-31,3,March,Q1,2024,2024-03
2024-04-30,4,April,Q2,2024,2024-04
2024-05-31,5,May,Q2,2024,2024-05
2024-06-30,6,June,Q2,2024,2024-06
2024-07-31,7,July,Q3,2024,2024-07
2024-08-31,8,August,Q3,2024,2024-08
2024-09-30,9,September,Q3,2024,2024-09
2024-10-31,10,October,Q4,2024,2024-10
2024-11-30,11,November,Q4,2024,2024-11
2024-12-31,12,December,Q4,2024,2024-12
